W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
swanlab: Tracking run with swanlab version 0.7.13
swanlab: Run data will be saved locally in /home/yjp/em_bench/learn/minimind/trainer/swanlog/run-20260329_163448-48vtjgldxt7fiiudntyr6
swanlab: 👋 Hi lanze,welcome to swanlab!
swanlab: Syncing run MiniMind-GRPO-Epoch-1-BS-2-LR-8e-08 to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@lanze/MiniMind-GRPO
swanlab: 🚀 View run at https://swanlab.cn/@lanze/MiniMind-GRPO/runs/48vtjgldxt7fiiudntyr6
`torch_dtype` is deprecated! Use `dtype` instead!
Model Params: 104.03M
Trainable Params: 104.031M
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 67.27it/s]
torch.compile enabled
Model Params: 104.03M
Trainable Params: 104.031M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 75.59it/s]
past_key_values should not be None in from_legacy_cache()
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](32/2500), Actor Loss: 0.0400, Aux Loss: 0.0000, Reward: -0.9868, Avg Response Len: 321.56, Learning Rate: 0.00000008
Epoch:[1/1](33/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.5143, Avg Response Len: 310.44, Learning Rate: 0.00000008
Epoch:[1/1](34/2500), Actor Loss: 0.0004, Aux Loss: 0.0000, Reward: -0.0854, Avg Response Len: 217.31, Learning Rate: 0.00000008
Epoch:[1/1](35/2500), Actor Loss: 0.0004, Aux Loss: 0.0000, Reward: -0.8612, Avg Response Len: 221.25, Learning Rate: 0.00000008
Epoch:[1/1](36/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: 1.1824, Avg Response Len: 253.56, Learning Rate: 0.00000008
Epoch:[1/1](37/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.3136, Avg Response Len: 404.56, Learning Rate: 0.00000008
Epoch:[1/1](38/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: 0.0999, Avg Response Len: 171.12, Learning Rate: 0.00000008
Epoch:[1/1](39/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -0.0357, Avg Response Len: 366.44, Learning Rate: 0.00000008
Epoch:[1/1](40/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: 0.0723, Avg Response Len: 364.19, Learning Rate: 0.00000008
Epoch:[1/1](41/2500), Actor Loss: 0.0008, Aux Loss: 0.0000, Reward: -0.8691, Avg Response Len: 208.75, Learning Rate: 0.00000008
Epoch:[1/1](42/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.8784, Avg Response Len: 325.94, Learning Rate: 0.00000008
